"{'C': 10.0, 'gamma': 0.0007, 'kernel': 'rbf'}","{'C': 20.0, 'gamma': 0.0007, 'kernel': 'rbf'}","{'C': 30.0, 'gamma': 0.0007, 'kernel': 'rbf'}","{'C': 10.0, 'gamma': 0.0006000000000000001, 'kernel': 'rbf'}","{'C': 10.0, 'gamma': 0.0007999999999999999, 'kernel': 'rbf'}","{'C': 20.0, 'gamma': 0.0007999999999999999, 'kernel': 'rbf'}","{'C': 40.0, 'gamma': 0.0007, 'kernel': 'rbf'}","{'C': 60.0, 'gamma': 0.0007, 'kernel': 'rbf'}","{'C': 80.0, 'gamma': 0.0007, 'kernel': 'rbf'}","{'C': 100.0, 'gamma': 0.0007, 'kernel': 'rbf'}","{'C': 70.0, 'gamma': 0.0007, 'kernel': 'rbf'}","{'C': 90.0, 'gamma': 0.0007, 'kernel': 'rbf'}","{'C': 50.0, 'gamma': 0.0007, 'kernel': 'rbf'}","{'C': 30.0, 'gamma': 0.0006000000000000001, 'kernel': 'rbf'}","{'C': 30.0, 'gamma': 0.0007999999999999999, 'kernel': 'rbf'}","{'C': 20.0, 'gamma': 0.0006000000000000001, 'kernel': 'rbf'}","{'C': 40.0, 'gamma': 0.0007999999999999999, 'kernel': 'rbf'}","{'C': 50.0, 'gamma': 0.0007999999999999999, 'kernel': 'rbf'}","{'C': 40.0, 'gamma': 0.0006000000000000001, 'kernel': 'rbf'}","{'C': 70.0, 'gamma': 0.0007999999999999999, 'kernel': 'rbf'}","{'C': 60.0, 'gamma': 0.0007999999999999999, 'kernel': 'rbf'}","{'C': 100.0, 'gamma': 0.0007999999999999999, 'kernel': 'rbf'}","{'C': 80.0, 'gamma': 0.0007999999999999999, 'kernel': 'rbf'}","{'C': 90.0, 'gamma': 0.0007999999999999999, 'kernel': 'rbf'}","{'C': 50.0, 'gamma': 0.0006000000000000001, 'kernel': 'rbf'}","{'C': 60.0, 'gamma': 0.0006000000000000001, 'kernel': 'rbf'}","{'C': 10.0, 'gamma': 0.0009, 'kernel': 'rbf'}","{'C': 70.0, 'gamma': 0.0006000000000000001, 'kernel': 'rbf'}","{'C': 20.0, 'gamma': 0.0009, 'kernel': 'rbf'}","{'C': 80.0, 'gamma': 0.0006000000000000001, 'kernel': 'rbf'}","{'C': 90.0, 'gamma': 0.0006000000000000001, 'kernel': 'rbf'}","{'C': 10.0, 'gamma': 0.0005, 'kernel': 'rbf'}","{'C': 100.0, 'gamma': 0.0006000000000000001, 'kernel': 'rbf'}","{'C': 30.0, 'gamma': 0.0009, 'kernel': 'rbf'}","{'C': 50.0, 'gamma': 0.0009, 'kernel': 'rbf'}","{'C': 80.0, 'gamma': 0.0009, 'kernel': 'rbf'}","{'C': 100.0, 'gamma': 0.0009, 'kernel': 'rbf'}","{'C': 60.0, 'gamma': 0.0009, 'kernel': 'rbf'}","{'C': 70.0, 'gamma': 0.0009, 'kernel': 'rbf'}","{'C': 90.0, 'gamma': 0.0009, 'kernel': 'rbf'}","{'C': 40.0, 'gamma': 0.0009, 'kernel': 'rbf'}","{'C': 20.0, 'gamma': 0.0005, 'kernel': 'rbf'}","{'C': 10.0, 'gamma': 0.0003, 'kernel': 'rbf'}","{'C': 30.0, 'gamma': 0.0005, 'kernel': 'rbf'}","{'C': 10.0, 'gamma': 0.00039999999999999996, 'kernel': 'rbf'}","{'C': 20.0, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 10.0, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 40.0, 'gamma': 0.0005, 'kernel': 'rbf'}","{'C': 50.0, 'gamma': 0.0005, 'kernel': 'rbf'}","{'C': 30.0, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 60.0, 'gamma': 0.0005, 'kernel': 'rbf'}","{'C': 70.0, 'gamma': 0.0005, 'kernel': 'rbf'}","{'C': 80.0, 'gamma': 0.0005, 'kernel': 'rbf'}","{'C': 100.0, 'gamma': 0.0005, 'kernel': 'rbf'}","{'C': 40.0, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 90.0, 'gamma': 0.0005, 'kernel': 'rbf'}","{'C': 60.0, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 20.0, 'gamma': 0.00039999999999999996, 'kernel': 'rbf'}","{'C': 50.0, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 80.0, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 70.0, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 100.0, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 90.0, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 30.0, 'gamma': 0.00039999999999999996, 'kernel': 'rbf'}","{'C': 40.0, 'gamma': 0.00039999999999999996, 'kernel': 'rbf'}","{'C': 60.0, 'gamma': 0.00039999999999999996, 'kernel': 'rbf'}","{'C': 50.0, 'gamma': 0.00039999999999999996, 'kernel': 'rbf'}","{'C': 20.0, 'gamma': 0.00019999999999999998, 'kernel': 'rbf'}","{'C': 70.0, 'gamma': 0.00039999999999999996, 'kernel': 'rbf'}","{'C': 80.0, 'gamma': 0.00039999999999999996, 'kernel': 'rbf'}","{'C': 90.0, 'gamma': 0.00039999999999999996, 'kernel': 'rbf'}","{'C': 100.0, 'gamma': 0.00039999999999999996, 'kernel': 'rbf'}","{'C': 30.0, 'gamma': 0.0003, 'kernel': 'rbf'}","{'C': 20.0, 'gamma': 0.0003, 'kernel': 'rbf'}","{'C': 10.0, 'gamma': 0.00019999999999999998, 'kernel': 'rbf'}","{'C': 40.0, 'gamma': 0.0003, 'kernel': 'rbf'}","{'C': 30.0, 'gamma': 0.00019999999999999998, 'kernel': 'rbf'}","{'C': 50.0, 'gamma': 0.0003, 'kernel': 'rbf'}","{'C': 60.0, 'gamma': 0.0003, 'kernel': 'rbf'}","{'C': 40.0, 'gamma': 0.00019999999999999998, 'kernel': 'rbf'}","{'C': 100.0, 'gamma': 0.0003, 'kernel': 'rbf'}","{'C': 90.0, 'gamma': 0.0003, 'kernel': 'rbf'}","{'C': 80.0, 'gamma': 0.0003, 'kernel': 'rbf'}","{'C': 50.0, 'gamma': 0.00019999999999999998, 'kernel': 'rbf'}","{'C': 70.0, 'gamma': 0.0003, 'kernel': 'rbf'}","{'C': 60.0, 'gamma': 0.00019999999999999998, 'kernel': 'rbf'}","{'C': 70.0, 'gamma': 0.00019999999999999998, 'kernel': 'rbf'}","{'C': 80.0, 'gamma': 0.00019999999999999998, 'kernel': 'rbf'}","{'C': 90.0, 'gamma': 0.00019999999999999998, 'kernel': 'rbf'}","{'C': 100.0, 'gamma': 0.00019999999999999998, 'kernel': 'rbf'}","{'C': 50.0, 'gamma': 0.0001, 'kernel': 'rbf'}","{'C': 40.0, 'gamma': 0.0001, 'kernel': 'rbf'}","{'C': 60.0, 'gamma': 0.0001, 'kernel': 'rbf'}","{'C': 30.0, 'gamma': 0.0001, 'kernel': 'rbf'}","{'C': 70.0, 'gamma': 0.0001, 'kernel': 'rbf'}","{'C': 90.0, 'gamma': 0.0001, 'kernel': 'rbf'}","{'C': 80.0, 'gamma': 0.0001, 'kernel': 'rbf'}","{'C': 20.0, 'gamma': 0.0001, 'kernel': 'rbf'}","{'C': 100.0, 'gamma': 0.0001, 'kernel': 'rbf'}","{'C': 10.0, 'gamma': 0.0001, 'kernel': 'rbf'}"
1,2,3,4,5,6,7,8,8,8,11,12,13,14,14,16,16,18,19,19,21,21,23,23,25,26,27,28,29,30,31,32,32,34,34,34,34,38,39,40,41,42,43,44,45,46,47,48,49,50,50,52,53,54,55,55,57,58,58,60,61,61,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,84,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0.8164439001011768,0.8157516374673838,0.8156983864955536,0.8156451355237233,0.8155386335800628,0.8154321316364024,0.8153788806645721,0.8152191277490815,0.8152191277490815,0.8152191277490815,0.8151658767772512,0.815112625805421,0.8150593748335907,0.8149528728899302,0.8149528728899302,0.814686618030779,0.814686618030779,0.8145268651152884,0.8144736141434581,0.8144736141434581,0.8144203631716279,0.8144203631716279,0.8143671121997976,0.8143671121997976,0.8143138612279675,0.814207359284307,0.8140476063688162,0.8139411044251558,0.8138346024814953,0.8137281005378348,0.8135683476223441,0.8135150966505139,0.8135150966505139,0.8134618456786836,0.8134618456786836,0.8134618456786836,0.8134618456786836,0.8134085947068534,0.8133553437350232,0.8133020927631929,0.8129825869322115,0.8128228340167208,0.8125033281857393,0.8119175674956068,0.8118643165237766,0.8116513126364556,0.8113850577773044,0.8113318068054742,0.8112785558336439,0.8111720538899835,0.8111720538899835,0.8111188029181533,0.811065551946323,0.8110123009744928,0.8108525480590021,0.8108525480590021,0.8107460461153416,0.8106395441716812,0.8106395441716812,0.8105862931998509,0.8105330422280207,0.8105330422280207,0.8104265402843602,0.8096277757069067,0.8086160072421321,0.8085627562703019,0.8084562543266415,0.8080302465519996,0.8079769955801693,0.8079237446083392,0.8076574897491879,0.8075509878055275,0.8073379839182065,0.8072847329463763,0.8072314819745461,0.8061664625379413,0.8059002076787901,0.8057937057351297,0.8053144469886575,0.8050481921295064,0.8048884392140156,0.8047286862985249,0.8043559294957133,0.8041961765802226,0.8041961765802226,0.8028649022844667,0.8025986474253155,0.8019596357633527,0.800894616326748,0.8000958517492944,0.797752808988764,0.7974865541296129,0.7973268012141221,0.7965812876084989,0.7964747856648384,0.796368283721178,0.7963150327493477,0.7957825230310454,0.7948240055381011,0.7866766068480749
