-99,-99,-99,-77,-68,-99,-99,-99,-99,-99,-99,-91,-99,-76,-79,-79,-64,-61,-56,-52,-65,-65,-85,-99,-99
-99,-99,-99,-79,-69,-99,-99,-99,-99,-99,-99,-87,-99,-76,-84,-80,-80,-65,-71,-62,-65,-67,-99,-99,-99
-99,-99,-87,-74,-65,-99,-86,-99,-99,-99,-99,-99,-99,-74,-81,-81,-62,-99,-71,-64,-81,-62,-87,-99,-99
-99,-99,-99,-99,-66,-99,-99,-99,-99,-99,-99,-99,-99,-74,-80,-77,-61,-74,-54,-50,-64,-63,-99,-99,-99
-99,-99,-99,-76,-66,-99,-99,-99,-99,-99,-99,-99,-99,-77,-83,-82,-62,-62,-54,-49,-66,-62,-99,-99,-99
-99,-99,-89,-75,-71,-99,-99,-99,-99,-99,-99,-89,-99,-74,-82,-80,-82,-78,-71,-61,-63,-65,-99,-99,-99
-99,-99,-85,-76,-64,-99,-99,-99,-99,-99,-99,-88,-99,-73,-79,-80,-63,-63,-56,-52,-65,-64,-90,-99,-99
-99,-99,-86,-74,-69,-99,-99,-99,-99,-99,-99,-99,-99,-76,-83,-80,-81,-60,-53,-47,-63,-63,-87,-99,-99
-99,-99,-87,-79,-69,-89,-99,-99,-99,-99,-99,-88,-99,-78,-84,-82,-66,-62,-54,-50,-65,-64,-99,-93,-99
-99,-99,-99,-75,-67,-99,-99,-99,-99,-99,-99,-89,-99,-73,-80,-80,-64,-68,-56,-64,-79,-65,-99,-99,-99
-99,-99,-89,-74,-64,-88,-99,-99,-99,-99,-99,-88,-99,-71,-81,-79,-59,-63,-54,-48,-62,-61,-85,-99,-99
-99,-99,-88,-77,-69,-99,-88,-99,-99,-99,-99,-88,-99,-78,-83,-84,-63,-57,-56,-63,-79,-86,-99,-99,-99
-99,-99,-89,-77,-68,-92,-99,-99,-99,-99,-99,-91,-99,-78,-82,-80,-64,-65,-54,-49,-64,-63,-89,-91,-99
-99,-99,-99,-73,-88,-89,-88,-99,-99,-99,-99,-99,-99,-99,-99,-99,-84,-80,-99,-63,-79,-85,-82,-99,-99
-99,-99,-90,-81,-71,-99,-99,-99,-99,-99,-99,-99,-99,-75,-80,-81,-63,-62,-54,-48,-64,-66,-99,-99,-99
