exp_id,avg_err_dist[m],avg_err_dist[px],avg_direct_err_dist[m],accuracy,existing_rate,st_dt,ed_dt,mac,floor,st_node,ed_node,via_dts_list,via_nodes_list,match_rate,adjacent_rate,middle_rate,wrong_node_rate
170127_024,7.22,55.18,9.02,85,83.33,2017-01-27T17:53:00.000Z,2017-01-27T17:55:00.000Z,00:11:81:10:01:0c,W2-6F,8,8,"[ { ""$date"" : ""2017-01-28T02:53:10.000+0900"" }, { ""$date"" : ""2017-01-28T02:53:20.000+0900"" }, { ""$date"" : ""2017-01-28T02:53:30.000+0900"" }, { ""$date"" : ""2017-01-28T02:53:40.000+0900"" }, { ""$date"" : ""2017-01-28T02:53:50.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:00.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:10.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:20.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:30.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:40.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:50.000+0900"" } ]","[ 24, 8, 24, 8, 24, 8, 24, 8, 24, 8, 24 ]",30,15,40,15
170127_025,3.51,26.81,6.48,95.83,100,2017-01-27T17:53:00.000Z,2017-01-27T17:55:00.000Z,00:11:81:10:01:0e,W2-6F,8,8,"[ { ""$date"" : ""2017-01-28T02:53:10.000+0900"" }, { ""$date"" : ""2017-01-28T02:53:20.000+0900"" }, { ""$date"" : ""2017-01-28T02:53:30.000+0900"" }, { ""$date"" : ""2017-01-28T02:53:40.000+0900"" }, { ""$date"" : ""2017-01-28T02:53:50.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:00.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:10.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:20.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:30.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:40.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:50.000+0900"" } ]","[ 24, 8, 24, 8, 24, 8, 24, 8, 24, 8, 24 ]",45.83,4.17,45.83,4.17
170127_026,3.13,23.89,6.25,100,100,2017-01-27T17:53:00.000Z,2017-01-27T17:55:00.000Z,00:11:81:10:01:3d,W2-6F,8,8,"[ { ""$date"" : ""2017-01-28T02:53:10.000+0900"" }, { ""$date"" : ""2017-01-28T02:53:20.000+0900"" }, { ""$date"" : ""2017-01-28T02:53:30.000+0900"" }, { ""$date"" : ""2017-01-28T02:53:40.000+0900"" }, { ""$date"" : ""2017-01-28T02:53:50.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:00.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:10.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:20.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:30.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:40.000+0900"" }, { ""$date"" : ""2017-01-28T02:54:50.000+0900"" } ]","[ 24, 8, 24, 8, 24, 8, 24, 8, 24, 8, 24 ]",50,0,50,0
170127_027,1.47,11.23,2.25,95,100,2017-01-27T18:03:30.000Z,2017-01-27T18:13:30.000Z,00:11:81:10:01:3f,W2-7F,5,5,[],[],80.83,14.17,0,5
170127_028,1.19,9.05,1.78,97.5,100,2017-01-27T18:03:30.000Z,2017-01-27T18:13:30.000Z,00:11:81:10:01:41,W2-7F,5,5,[],[],83.33,14.17,0,2.5
170127_029,1.91,14.58,2.72,99.17,100,2017-01-27T18:03:30.000Z,2017-01-27T18:13:30.000Z,00:11:81:10:01:43,W2-7F,7,7,[],[],84.17,15,0,0.83
170127_030,1.02,7.77,1.3,99.17,100,2017-01-27T18:03:30.000Z,2017-01-27T18:13:30.000Z,00:11:81:10:01:45,W2-7F,7,7,[],[],94.17,5,0,0.83
170127_031,2.12,16.22,3.28,98.33,100,2017-01-27T17:58:00.000Z,2017-01-27T18:08:00.000Z,00:11:81:10:01:46,W2-7F,16,16,[],[],65,33.33,0,1.67
170127_032,0.28,2.13,0.45,100,100,2017-01-27T17:58:00.000Z,2017-01-27T18:08:00.000Z,00:11:81:10:01:4a,W2-7F,16,16,[],[],95,5,0,0
170127_033,3.79,28.95,6.72,90.99,92.5,2017-01-27T17:58:00.000Z,2017-01-27T18:08:00.000Z,00:11:81:10:01:48,W2-7F,21,20,[],[],0,0,90.99,9.01
