exp_id,avg_err_dist[m],avg_err_dist[px],avg_direct_err_dist[m],accuracy,existing_rate,st_dt,ed_dt,mac,floor,st_node,ed_node,via_dts_list,via_nodes_list,match_rate,adjacent_rate,middle_rate,wrong_node_rate
170127_067,3.51,26.78,5.52,89.47,100,2017-01-27T18:13:00.000Z,2017-01-27T18:14:35.000Z,00:11:81:10:01:0c,W2-9F,13,1,"[ { ""$date"" : ""2017-01-28T03:13:12.000+0900"" }, { ""$date"" : ""2017-01-28T03:13:42.000+0900"" }, { ""$date"" : ""2017-01-28T03:14:01.000+0900"" }, { ""$date"" : ""2017-01-28T03:14:10.000+0900"" } ]","[ 12, 8, 6, 5 ]",10.53,15.79,63.16,10.53
170127_068,3.61,27.61,5.96,92.31,68.42,2017-01-27T18:13:00.000Z,2017-01-27T18:14:35.000Z,00:11:81:10:01:0e,W2-9F,13,1,"[ { ""$date"" : ""2017-01-28T03:13:12.000+0900"" }, { ""$date"" : ""2017-01-28T03:13:42.000+0900"" }, { ""$date"" : ""2017-01-28T03:14:01.000+0900"" }, { ""$date"" : ""2017-01-28T03:14:10.000+0900"" } ]","[ 12, 8, 6, 5 ]",0,15.38,76.92,7.69
170127_069,1.65,12.62,3.57,84.21,100,2017-01-27T18:13:00.000Z,2017-01-27T18:14:35.000Z,00:11:81:10:01:3d,W2-9F,13,1,"[ { ""$date"" : ""2017-01-28T03:13:12.000+0900"" }, { ""$date"" : ""2017-01-28T03:13:42.000+0900"" }, { ""$date"" : ""2017-01-28T03:14:01.000+0900"" }, { ""$date"" : ""2017-01-28T03:14:10.000+0900"" } ]","[ 12, 8, 6, 5 ]",15.79,10.53,57.89,15.79
170127_070,4.06,30.98,6.66,82.76,100,2017-01-27T18:15:20.000Z,2017-01-27T18:17:45.000Z,00:11:81:10:01:0c,W2-9F,23,13,"[ { ""$date"" : ""2017-01-28T03:15:35.000+0900"" }, { ""$date"" : ""2017-01-28T03:15:57.000+0900"" }, { ""$date"" : ""2017-01-28T03:16:08.000+0900"" }, { ""$date"" : ""2017-01-28T03:16:27.000+0900"" }, { ""$date"" : ""2017-01-28T03:16:43.000+0900"" }, { ""$date"" : ""2017-01-28T03:17:15.000+0900"" }, { ""$date"" : ""2017-01-28T03:17:31.000+0900"" } ]","[ 22, 5, 6, 8, 18, 15, 12 ]",17.24,3.45,62.07,17.24
170127_071,2.47,18.86,4.83,96.55,100,2017-01-27T18:15:20.000Z,2017-01-27T18:17:45.000Z,00:11:81:10:01:0e,W2-9F,23,13,"[ { ""$date"" : ""2017-01-28T03:15:35.000+0900"" }, { ""$date"" : ""2017-01-28T03:15:57.000+0900"" }, { ""$date"" : ""2017-01-28T03:16:08.000+0900"" }, { ""$date"" : ""2017-01-28T03:16:27.000+0900"" }, { ""$date"" : ""2017-01-28T03:16:43.000+0900"" }, { ""$date"" : ""2017-01-28T03:17:15.000+0900"" }, { ""$date"" : ""2017-01-28T03:17:31.000+0900"" } ]","[ 22, 5, 6, 8, 18, 15, 12 ]",13.79,6.9,75.86,3.45
170127_072,2.82,21.55,5.35,89.66,100,2017-01-27T18:15:20.000Z,2017-01-27T18:17:45.000Z,00:11:81:10:01:3d,W2-9F,23,13,"[ { ""$date"" : ""2017-01-28T03:15:35.000+0900"" }, { ""$date"" : ""2017-01-28T03:15:57.000+0900"" }, { ""$date"" : ""2017-01-28T03:16:08.000+0900"" }, { ""$date"" : ""2017-01-28T03:16:27.000+0900"" }, { ""$date"" : ""2017-01-28T03:16:43.000+0900"" }, { ""$date"" : ""2017-01-28T03:17:15.000+0900"" }, { ""$date"" : ""2017-01-28T03:17:31.000+0900"" } ]","[ 22, 5, 6, 8, 18, 15, 12 ]",17.24,3.45,68.97,10.34
170127_073,3.79,28.98,5.47,91.67,100,2017-01-27T18:18:50.000Z,2017-01-27T18:20:50.000Z,00:11:81:10:01:0c,W2-9F,8,27,"[ { ""$date"" : ""2017-01-28T03:19:00.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:20.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:30.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:40.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:50.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:00.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:20.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:30.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:40.000+0900"" } ]","[ 27, 8, 27, 8, 27, 8, 27, 8, 27, 8, 27 ]",41.67,4.17,45.83,8.33
170127_074,4.42,33.76,6.71,91.67,100,2017-01-27T18:18:50.000Z,2017-01-27T18:20:50.000Z,00:11:81:10:01:0e,W2-9F,8,27,"[ { ""$date"" : ""2017-01-28T03:19:00.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:20.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:30.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:40.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:50.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:00.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:20.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:30.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:40.000+0900"" } ]","[ 27, 8, 27, 8, 27, 8, 27, 8, 27, 8, 27 ]",45.83,0,45.83,8.33
170127_075,2.72,20.74,2.59,91.67,100,2017-01-27T18:18:50.000Z,2017-01-27T18:20:50.000Z,00:11:81:10:01:3d,W2-9F,8,27,"[ { ""$date"" : ""2017-01-28T03:19:00.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:20.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:30.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:40.000+0900"" }, { ""$date"" : ""2017-01-28T03:19:50.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:00.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:10.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:20.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:30.000+0900"" }, { ""$date"" : ""2017-01-28T03:20:40.000+0900"" } ]","[ 27, 8, 27, 8, 27, 8, 27, 8, 27, 8, 27 ]",41.67,4.17,45.83,8.33
,2.808194444,,4.623472222,,,,,,,,,,,,,,
